Sample,Time,Decoder,Ann Row,Ann Class,Value,
371225,3.712 ms,SPI,MOSI data,MOSI data,07,
371481,3.715 ms,SPI,MOSI data,MOSI data,E0,
371737,3.717 ms,SPI,MOSI data,MOSI data,07,
371993,3.720 ms,SPI,MOSI data,MOSI data,E0,
372249,3.722 ms,SPI,MOSI data,MOSI data,07,
372505,3.725 ms,SPI,MOSI data,MOSI data,E0,
372761,3.728 ms,SPI,MOSI data,MOSI data,07,
373017,3.730 ms,SPI,MOSI data,MOSI data,E0,
373273,3.733 ms,SPI,MOSI data,MOSI data,07,
373529,3.735 ms,SPI,MOSI data,MOSI data,E0,
373785,3.738 ms,SPI,MOSI data,MOSI data,07,
374041,3.740 ms,SPI,MOSI data,MOSI data,E0,
374297,3.743 ms,SPI,MOSI data,MOSI data,07,
374553,3.746 ms,SPI,MOSI data,MOSI data,E0,
374809,3.748 ms,SPI,MOSI data,MOSI data,07,
375065,3.751 ms,SPI,MOSI data,MOSI data,E0,
375321,3.753 ms,SPI,MOSI data,MOSI data,07,
375577,3.756 ms,SPI,MOSI data,MOSI data,E0,
375833,3.758 ms,SPI,MOSI data,MOSI data,07,
376089,3.761 ms,SPI,MOSI data,MOSI data,E0,
